sender,Year_Quarter,senderID,senderFullName,SentVolume,SentValue,RecievedVolume,RecievedValue,ShareSentVolume,ShareSentValue,ShareRecievedVolume,ShareRecievedValue,TotalVolume,TotalValue
BOFMCA,2000Q1,"001",Bank of Montreal                        ,904891,13549767,904891,13549767,0,0,0,0,1809782,27099534
NOSCCA,2000Q1,"002","Bank of Nova Scotia, The                ",14922,146747123.2,4335,107219307,0,0,0,0,1549430,14934414
ROYCCA,2000Q1,"003",Royal Bank of Canada                    ,596739,8111101,596739,8111101,0,0,0,0,1193478,16222202
TDOMCA,2000Q1,"004","Toronto-Dominion Bank, The              ",14922,146747123.2,4335,107219307,0,0,0,0,1507980,13111917
BNDCCA,2000Q1,"006",Banque Nationale du Canada              ,183984,1530869.5,183984,1530869.5,0,0,0,0,367968,3061739
CIBCCA,2000Q1,"010",Canadian Imperial Bank of Commerce      ,14922,146747123.2,4335,107219307,0,0,0,0,657334,7656540
HKBCCA,2000Q1,"016",Hongkong Bank of Canada                 ,131464,1216606.5,131464,1216606.5,0,0,0,0,262928,2433213
BLCMCA,2000Q1,"039",Banque Laurentienne du Canada           ,14922,146747123.2,4335,107219307,0,0,0,0,39044,325494
ATBRCA,2000Q1,"219",Province of Alberta Treasury Branches   ,18320,187578,18320,187578,0,0,0,0,36640,375156
N,2000Q1,"509",Canada Trustco Mortgage Company         ,14922,146747123.2,4335,107219307,0,0,0,0,0,0
CCDQCA,2000Q1,"815",La Caisse centrale de Desj. du Québec   ,62233,338383,62233,338383,0,0,0,0,124466,676766
CUCXCA,2000Q1,"869",Credit Union Central of Canada          ,14922,146747123.2,4335,107219307,0,0,0,0,0,0
BOFMCA,2000Q2,"001",Bank of Montreal                        ,892667,12289733,892667,12289733,0,0,0,0,1785334,24579466
NOSCCA,2000Q2,"002","Bank of Nova Scotia, The                ",14922,146747123.2,4335,107219307,0,0,0,0,1512496,14405576
ROYCCA,2000Q2,"003",Royal Bank of Canada                    ,598011,7671940.5,598011,7671940.5,0,0,0,0,1196022,15343881
TDOMCA,2000Q2,"004","Toronto-Dominion Bank, The              ",14922,146747123.2,4335,107219307,0,0,0,0,1489200,13119298
BNDCCA,2000Q2,"006",Banque Nationale du Canada              ,187888,1595499,187888,1595499,0,0,0,0,375776,3190998
CIBCCA,2000Q2,"010",Canadian Imperial Bank of Commerce      ,14922,146747123.2,4335,107219307,0,0,0,0,629322,7393559
HKBCCA,2000Q2,"016",Hongkong Bank of Canada                 ,139315,1327229,139315,1327229,0,0,0,0,278630,2654458
BLCMCA,2000Q2,"039",Banque Laurentienne du Canada           ,14922,146747123.2,4335,107219307,0,0,0,0,40784,313225
ATBRCA,2000Q2,"219",Province of Alberta Treasury Branches   ,17018,156764.5,17018,156764.5,0,0,0,0,34036,313529
N,2000Q2,"509",Canada Trustco Mortgage Company         ,14922,146747123.2,4335,107219307,0,0,0,0,94,209
CCDQCA,2000Q2,"815",La Caisse centrale de Desj. du Québec   ,62053,344975,62053,344975,0,0,0,0,124106,689950
CUCXCA,2000Q2,"869",Credit Union Central of Canada          ,14922,146747123.2,4335,107219307,0,0,0,0,392,1536
BOFMCA,2000Q3,"001",Bank of Montreal                        ,831020,10123957,831020,10123957,0,0,0,0,1662040,20247914
NOSCCA,2000Q3,"002","Bank of Nova Scotia, The                ",14922,146747123.2,4335,107219307,0,0,0,0,1447690,13494936
ROYCCA,2000Q3,"003",Royal Bank of Canada                    ,577268,7227000.5,577268,7227000.5,0,0,0,0,1154536,14454001
TDOMCA,2000Q3,"004","Toronto-Dominion Bank, The              ",14922,146747123.2,4335,107219307,0,0,0,0,1369848,12000666
BNDCCA,2000Q3,"006",Banque Nationale du Canada              ,183525,1598594,183525,1598594,0,0,0,0,367050,3197188
CIBCCA,2000Q3,"010",Canadian Imperial Bank of Commerce      ,14922,146747123.2,4335,107219307,0,0,0,0,606918,6716357
HKBCCA,2000Q3,"016",Hongkong Bank of Canada                 ,138535,1271539.5,138535,1271539.5,0,0,0,0,277070,2543079
BLCMCA,2000Q3,"039",Banque Laurentienne du Canada           ,14922,146747123.2,4335,107219307,0,0,0,0,39972,328467
ATBRCA,2000Q3,"219",Province of Alberta Treasury Branches   ,16586,105477.5,16586,105477.5,0,0,0,0,33172,210955
N,2000Q3,"509",Canada Trustco Mortgage Company         ,14922,146747123.2,4335,107219307,0,0,0,0,540,756
CCDQCA,2000Q3,"815",La Caisse centrale de Desj. du Québec   ,56393,262041,56393,262041,0,0,0,0,112786,524082
CUCXCA,2000Q3,"869",Credit Union Central of Canada          ,14922,146747123.2,4335,107219307,0,0,0,0,1258,5025
BOFMCA,2000Q4,"001",Bank of Montreal                        ,743358,10136091.5,743358,10136091.5,0,0,0,0,1486716,20272183
NOSCCA,2000Q4,"002","Bank of Nova Scotia, The                ",14922,146747123.2,4335,107219307,0,0,0,0,1362166,11713952
